topic;terms
1.;trial, clinic, efficaci, report, safeti, assess, evalu, show, advers, ...
2.;week, placebo, treatment, group, extract, symptom, score, patient, hypericum, ...
3.;dasatinib, patient, case, treatment, report, chronic, leukemia, therapi, myeloid, ...
4.;cvd, risk, cardiovascular, prevent, factor, profil, diseas, lipid, import, ...
5.;flavonoid, anthocyanin, individu, adult, genistein, dietari, isoflavon, flavanon, intak, ...
6.;sunitinib, sorafenib, target, imatinib, includ, cancer, erlotinib, anticanc, malign, ...
7.;bone, marrow, chromosom, abnorm, deriv, prognost, signific, aberr, delet, ...
8.;lifespan, elegan, longev, stress, effect, life, span, extend, increas, ...
9.;muscl, smooth, vsmc, skelet, aortic, havsmc, resist, accordingli, folfiri, ...
10.;quercetin, effect, cell, concentr, human, dose, depend, studi, increas, ...
